threshold,clinical_cost
0.05,575.0
0.055,487.0
0.06,491.0
0.065,466.0
0.07,437.0
0.075,408.0
0.08,398.0
0.08499999999999999,395.0
0.09,387.0
0.095,393.0
0.09999999999999999,392.0
0.105,395.0
0.10999999999999999,388.0
0.11499999999999999,385.0
0.12,383.0
0.12499999999999999,383.0
0.13,383.0
0.135,378.0
0.13999999999999999,376.0
0.145,372.0
0.14999999999999997,371.0
0.15499999999999997,369.0
0.15999999999999998,369.0
0.16499999999999998,366.0
0.16999999999999998,361.0
0.175,358.0
0.18,358.0
0.185,356.0
0.19,352.0
0.195,349.0
0.19999999999999996,347.0
0.20499999999999996,347.0
0.20999999999999996,347.0
0.21499999999999997,347.0
0.21999999999999997,347.0
0.22499999999999998,347.0
0.22999999999999998,347.0
0.235,346.0
0.24,345.0
0.245,345.0
0.24999999999999994,344.0
0.25499999999999995,343.0
0.25999999999999995,343.0
0.26499999999999996,343.0
0.26999999999999996,341.0
0.27499999999999997,340.0
0.27999999999999997,339.0
0.285,339.0
0.29,339.0
0.295,339.0
0.3,337.0
0.30499999999999994,337.0
0.30999999999999994,337.0
0.31499999999999995,337.0
0.31999999999999995,337.0
0.32499999999999996,336.0
0.32999999999999996,336.0
0.33499999999999996,336.0
0.33999999999999997,336.0
0.3449999999999999,336.0
0.3499999999999999,336.0
0.3549999999999999,336.0
0.35999999999999993,336.0
0.36499999999999994,341.0
0.36999999999999994,341.0
0.37499999999999994,341.0
0.37999999999999995,341.0
0.38499999999999995,341.0
0.38999999999999996,341.0
0.39499999999999996,341.0
0.3999999999999999,341.0
0.4049999999999999,341.0
0.4099999999999999,341.0
0.4149999999999999,341.0
0.41999999999999993,339.0
0.42499999999999993,344.0
0.42999999999999994,344.0
0.43499999999999994,344.0
0.43999999999999995,344.0
0.44499999999999995,344.0
0.4499999999999999,343.0
0.4549999999999999,343.0
0.4599999999999999,342.0
0.4649999999999999,342.0
0.4699999999999999,342.0
0.4749999999999999,347.0
0.4799999999999999,346.0
0.48499999999999993,346.0
0.48999999999999994,345.0
0.49499999999999994,345.0
0.49999999999999994,344.0
0.5049999999999999,344.0
0.5099999999999999,344.0
0.5149999999999999,347.0
0.5199999999999999,347.0
0.5249999999999999,347.0
0.5299999999999999,347.0
0.5349999999999999,347.0
0.5399999999999999,347.0
0.5449999999999999,361.0
0.5499999999999999,361.0
0.5549999999999999,361.0
0.5599999999999999,361.0
0.565,361.0
0.57,361.0
0.575,361.0
0.58,360.0
0.585,360.0
0.59,360.0
0.595,365.0
0.6,364.0
0.605,368.0
0.61,373.0
0.615,378.0
0.62,383.0
0.625,383.0
0.63,388.0
0.635,398.0
0.6399999999999999,398.0
0.6449999999999999,398.0
0.6499999999999999,398.0
0.6549999999999999,402.0
0.6599999999999999,402.0
0.6649999999999999,402.0
0.6699999999999999,402.0
0.6749999999999999,407.0
0.6799999999999999,407.0
0.6849999999999999,407.0
0.69,407.0
0.695,407.0
0.7,407.0
0.705,411.0
0.71,411.0
0.715,416.0
0.72,430.0
0.725,435.0
0.73,445.0
0.735,445.0
0.74,445.0
0.7449999999999999,445.0
0.7499999999999999,460.0
0.7549999999999999,460.0
0.7599999999999999,465.0
0.7649999999999999,474.0
0.7699999999999999,489.0
0.7749999999999999,494.0
0.7799999999999999,499.0
0.7849999999999999,509.0
0.7899999999999999,514.0
0.7949999999999999,514.0
0.7999999999999999,534.0
0.8049999999999999,544.0
0.8099999999999999,544.0
0.815,544.0
0.82,554.0
0.825,553.0
0.83,563.0
0.835,562.0
0.84,567.0
0.845,577.0
0.8499999999999999,577.0
0.8549999999999999,577.0
0.8599999999999999,590.0
0.8649999999999999,605.0
0.8699999999999999,610.0
0.8749999999999999,625.0
0.8799999999999999,630.0
0.8849999999999999,640.0
0.8899999999999999,654.0
0.8949999999999999,659.0
0.8999999999999999,669.0
0.9049999999999999,732.0
0.9099999999999999,801.0
0.9149999999999999,816.0
0.9199999999999999,836.0
0.9249999999999999,956.0
0.9299999999999999,971.0
0.9349999999999999,1074.0
0.94,1144.0
0.945,1208.0
0.95,1478.0
