train_size,train_auc_mean,train_auc_std,cv_auc_mean,cv_auc_std
171,1.0,0.0,0.9320184722448148,0.08564873715589066
392,1.0,0.0,0.9508217746532395,0.08521960800143191
613,1.0,0.0,0.9512223586132045,0.08662351146415065
834,1.0,0.0,0.9523721664887356,0.09069336480682923
1055,1.0,0.0,0.9541362976500807,0.08591357023735956
1276,1.0,0.0,0.9560571835140668,0.08408027314542815
1497,1.0,0.0,0.9565304549064528,0.08434112232413811
1719,1.0,0.0,0.9522667748377774,0.08496049172402337
